,gap_capital injection,gap_crowdfunding,gap_preferred stock,gap_recapitalization,gap_venture capital,gap_virtual data room,score_capital injection,score_crowdfunding,score_preferred stock,score_recapitalization,score_venture capital,score_virtual data room,rating_capital injection,rating_crowdfunding,rating_preferred stock,rating_recapitalization,rating_venture capital,rating_virtual data room,label
u2cloud.com,1.4704678598517442,1.5639096144849443,1.6128924693034083,1.7237477912918284,1.7751620649447837,1.4495154389627831,76.8499984741211,86.23332977294922,82.86666870117188,85.62222290039062,82.5999984741211,87.30000305175781,1.6333333333333335,3.733333333333333,3.0666666666666664,2.711111111111111,3.3333333333333335,3.4499999999999997,0.0
uarochester.com,1.4459423859600151,2.1987824605528914,2.414068749839208,2.4489654457895016,2.4993269349684626,2.558341108544405,86.66666412353516,76.375,83.1500015258789,79.125,82.625,88.5,3.5,1.925,3.0166666666666666,2.125,3.1458333333333335,3.375,0.0
ubicquia.com,4.0,3.1555555555555554,4.0,4.5,3.1555555555555554,4.5,78.5,75.0,74.0,75.0,78.22222137451172,75.0,2.0,1.6666666666666667,1.5,1.0,2.3333333333333335,2.0,1.0
udo.com,6.0,6.0,1.8666666666666667,1.8666666666666667,6.0,1.8666666666666667,70.0,70.0,92.0,80.0,70.0,88.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0
udwa.org,2.6940192239821936,2.672891668233581,1.9756736743895078,3.060191189945924,2.6505769870255085,2.7751920951422626,83.35237884521484,74.125,75.625,80.95555114746094,79.9471435546875,79.72916412353516,2.85,1.5625,1.75,2.2666666666666666,2.67,2.0625,0.0
uhswv.com,6.0,6.0,0.7775745169671714,1.2887656618547672,6.0,6.0,70.0,70.0,83.0,85.0,70.0,70.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0
ulalaunch.com,6.0,0.8,0.8,0.8,6.0,1.8333333333333333,70.0,76.0,82.0,89.0,70.0,72.33333587646484,1.0,2.0,3.0,3.5,1.0,1.0,1.0
uncommonx.com,4.016666666666667,4.016666666666667,4.016666666666667,4.016666666666667,4.016666666666667,4.016666666666667,85.5,89.5,82.0,86.0,88.0,90.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0
unicorp.com,6.0,6.0,1.2333333333333334,6.0,6.0,1.2333333333333334,70.0,70.0,77.0,70.0,70.0,71.5,1.0,1.0,1.75,1.0,1.0,1.0,1.0
unifimd.com,3.067276713512984,3.3722586444367257,6.0,1.4513239240638538,2.907512443290755,2.810149718506194,85.1875,79.875,70.0,75.66666412353516,88.375,83.68333435058594,3.1875,2.5,1.0,1.3333333333333333,4.375,2.783333333333333,0.0
unistarcostreduction.com,6.0,6.0,1.0541997561941021,6.0,6.0,6.0,70.0,70.0,81.5,70.0,70.0,70.0,1.0,1.0,2.75,1.0,1.0,1.0,0.0
unitedgeotech.com,6.0,6.0,4.807011999672018,6.0,6.0,6.0,70.0,70.0,85.0,70.0,70.0,70.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
univfy.com,3.2,3.2,1.6666666666666667,3.2,3.2,3.2,92.0,83.0,88.0,81.0,73.0,100.0,4.5,3.5,4.0,2.0,1.5,5.0,1.0
upland.me,6.0,6.0,3.6500000000000004,3.6500000000000004,6.0,6.0,70.0,70.0,79.5,83.5,70.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
upperlinehealth.com,4.5,4.5,6.0,6.0,4.5,4.5,85.0,72.0,70.0,70.0,76.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uppi.org,1.4997117582345942,0.804198222065239,4.593542035853929,1.5104872937948146,0.6013129628015684,1.430369062109441,77.5,70.5,72.0,89.0,83.0,76.75238037109375,2.0833333333333335,1.0,1.0,3.0,3.6,1.7142857142857142,0.0
upstack.com,2.1133333333333333,2.1133333333333333,2.625,2.1133333333333333,2.1133333333333333,2.1133333333333333,89.4000015258789,82.0,83.5,82.4000015258789,91.19999694824219,92.4000015258789,3.6666666666666665,2.6666666666666665,2.0,2.3333333333333335,4.666666666666667,3.6666666666666665,1.0
ursaleo.com,2.667796331354885,2.4407412914909115,2.476159100001367,1.8465876120204139,2.6575454522744493,2.8339114688049847,89.68333435058594,81.96666717529297,81.0,75.0,86.69999694824219,83.86666870117188,3.95,3.1333333333333333,3.0,1.0,4.2,2.95,0.0
usare.com,1.7,2.216666666666667,2.216666666666667,1.7000000000000002,2.216666666666667,2.216666666666667,74.0,71.5,87.0,77.33333587646484,81.5,75.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
uscotton.com,1.7333333333333334,6.0,6.0,6.0,1.7333333333333334,6.0,81.0,70.0,70.0,70.0,73.0,70.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
ushahidi.com,2.705660382141943,3.4567356463717904,6.0,0.7212973430096983,3.118394350102755,1.4882983705410706,82.61111450195312,77.33333587646484,70.0,73.0,80.10416412353516,76.33333587646484,2.9166666666666665,2.3333333333333335,1.0,1.0,2.9375,1.8333333333333333,0.0
vacatia.com,1.3555555555555554,1.3555555555555554,1.3555555555555554,1.3555555555555554,1.3555555555555554,1.3555555555555554,89.16666412353516,84.5,79.16666412353516,77.66666412353516,88.16666412353516,88.0,4.0,3.6666666666666665,2.3333333333333335,2.0,4.666666666666667,3.6666666666666665,1.0
vagaro.com,6.0,4.166666666666667,6.0,3.6500000000000004,4.166666666666667,4.166666666666667,70.0,75.0,70.0,82.5,71.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
valon.com,1.1166666666666667,1.1166666666666667,0.6166666666666667,1.1222222222222222,1.1166666666666667,0.1,74.5,76.75,84.75,95.0,74.0,70.0,1.5,2.25,3.25,4.222222222222222,1.75,1.0,1.0
valoremreply.com,3.9287793078875466,3.9553400696672503,4.224460480523831,2.1938998459090815,3.9141224852687753,3.141482525009778,89.25,87.75,77.5,77.41666412353516,89.29167175292969,82.46666717529297,4.0,4.25,2.0,1.75,4.875,2.6333333333333333,0.0
vangst.com,2.466666666666667,3.488888888888889,2.4733333333333336,2.4733333333333336,2.466666666666667,4.5,77.5,79.77777862548828,81.80000305175781,90.16666412353516,77.0,74.0,2.0,2.888888888888889,3.0,3.65,2.0,1.0,1.0
vantagefncl.com,2.8205928587938827,2.6292224982058396,2.2760131296126396,2.501915121894368,2.718675352280917,2.5152221347049375,76.7249984741211,77.75,73.99702453613281,77.44444274902344,77.6500015258789,87.69667053222656,1.85,2.1875,1.4107142857142856,1.7777777777777777,2.35,3.535,0.0
vascudyne.com,6.0,6.0,0.7333333333333333,6.0,6.0,6.0,70.0,70.0,75.0,70.0,70.0,70.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
vcel.com,2.709823791221944,3.1697642069321543,2.2227827005443643,2.513745020627493,2.6213751244695356,2.1067655600480943,83.9000015258789,79.54166412353516,80.0,77.75,80.68333435058594,77.625,3.05,2.5625,2.25,1.6666666666666665,2.8666666666666667,1.875,0.0
vegaconsultants.com,2.4943410405104274,2.388303118398371,4.288118706070127,2.653700048849867,2.851863348878472,2.5805521259294313,85.55000305175781,86.30000305175781,81.20832824707031,74.70000457763672,85.375,87.8499984741211,3.2833333333333337,4.0,2.75,1.5666666666666669,3.8125,3.6,0.0
ventanamicro.com,0.03333333333333333,0.03333333333333333,1.5833333333333335,0.03333333333333333,0.03333333333333333,0.03333333333333333,87.0,87.0,83.0,75.0,89.0,90.0,4.0,4.0,1.0,2.0,5.0,4.0,1.0
veroscredit.com,3.2916666666666665,3.2916666666666665,0.7333333333333333,0.7333333333333333,3.2916666666666665,2.78,80.0,74.5,81.5,72.5,76.5,80.5999984741211,2.5,2.0,3.0,1.0,2.0,2.3333333333333335,1.0
veterinaryemergencygroup.com,2.283333333333333,6.0,6.0,0.7333333333333333,2.283333333333333,1.7666666666666666,71.0,70.0,70.0,70.0,72.0,78.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
vetoquinolusa.com,1.3242472851127147,1.2382146617210055,0.4023451082719279,0.8190247505273829,1.206452875316507,1.2123106683917142,82.75,71.75,78.25,75.0,76.0,79.75,2.75,1.0,2.0,1.0,1.75,2.0,0.0
villagehealthpartners.com,2.510395870707342,2.642030199790074,2.903608839470609,2.6544038968536094,2.7085443272278393,2.647346142326838,82.9000015258789,78.06111145019531,75.33333587646484,81.34696960449219,81.29098510742188,93.2611083984375,2.833333333333333,2.261111111111111,1.5,2.2777777777777777,3.034632034632035,4.333333333333333,0.0
vintra.io,0.6666666666666666,1.1833333333333333,1.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,88.0,81.0,80.5,70.0,88.0,93.0,4.0,5.0,4.0,1.0,5.0,4.0,1.0
violetdefense.com,6.0,6.0,2.1,6.0,6.0,6.0,70.0,70.0,93.0,70.0,70.0,70.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
viridiparente.com,2.6399999999999997,2.6399999999999997,2.3833333333333333,2.6399999999999997,2.6399999999999997,2.6399999999999997,81.61666870117188,75.44667053222656,76.79464721679688,74.49333190917969,81.8499984741211,81.2699966430664,2.6766666666666667,1.8533333333333335,2.0535714285714284,1.26,3.2233333333333336,2.6416666666666666,1.0
virtana.com,2.9833333333333334,2.9833333333333334,2.9833333333333334,2.9833333333333334,2.9833333333333334,3.488888888888889,79.70833587646484,78.55357360839844,78.04166412353516,78.69999694824219,75.39285278320312,86.15277862548828,2.4166666666666665,2.482142857142857,2.2083333333333335,1.8666666666666667,1.8928571428571428,3.472222222222222,1.0
virtra.com,2.282102816399292,2.668202293457556,2.4984121748921027,2.653978037853063,1.9903849602576913,2.34935161682683,77.5,84.12332916259766,77.663330078125,76.46666717529297,79.08332824707031,88.25,2.0,3.4733333333333336,2.1,1.8,2.75,3.875,0.0
vistapharm.com,2.7812969915475403,2.414737224760661,2.693489392364596,2.4362321632090644,2.4524879676374005,2.5518589259880518,84.34952545166016,84.47666931152344,90.79167175292969,95.11666870117188,80.22666931152344,85.8133316040039,3.0419047619047617,3.53,4.4,4.2333333333333325,2.8866666666666667,3.2833333333333328,0.0
vivantehealth.com,1.4333333333333333,1.4333333333333333,1.4333333333333333,1.4333333333333333,1.4333333333333333,2.466666666666667,76.0,74.0,70.0,71.0,81.0,85.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0
vivoagency.com,6.0,6.0,2.493854000016585,6.0,6.0,6.0,70.0,70.0,85.0,70.0,70.0,70.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
vodori.com,0.7,0.7,6.0,0.7,0.7,0.7,73.0,98.0,70.0,75.0,92.0,93.0,1.0,5.0,1.0,2.0,5.0,4.0,1.0
volantetech.com,6.0,6.0,3.216666666666667,1.1666666666666667,6.0,1.1666666666666667,70.0,70.0,85.0,75.0,70.0,71.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0
voxmaster.com,2.803639982715382,2.560917071107085,2.340659746872312,2.565177148715463,2.406615020215268,2.1764468045831062,83.35333251953125,82.39166259765625,81.60416412353516,80.0999984741211,85.46666717529297,87.20833587646484,2.9833333333333334,3.1041666666666665,2.9,1.9541666666666666,4.016666666666667,3.4125,0.0
voxsciencecorporation.com,2.616842128883518,2.4690815265534116,2.3218510573833155,2.5497140765015605,2.5344947996005316,2.5925230203278486,83.35333251953125,82.39166259765625,81.60416412353516,80.0999984741211,85.46666717529297,87.20833587646484,2.9833333333333334,3.1041666666666665,2.9,1.9541666666666666,4.016666666666667,3.4125,0.0
wattfuelcell.com,1.4333333333333333,3.6333333333333333,2.45,3.6333333333333333,2.9583333333333335,2.9583333333333335,75.75,75.0,75.25,79.66666412353516,81.0,78.31666564941406,1.5,1.25,1.75,2.0,2.8333333333333335,2.466666666666667,1.0
